Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2000,"BOS",162,2051,6371,167,792,755,43,0.095903311,0.159943493,0.156483126,0.297417631,0.266962699,0.340546517,0.423445825,0.33399081043514156,,91.79218123682497,-4.412303697085008,-76.08948347949797,21.327224248088896,16.448738567386926
2016,"TEX",162,2324,6089,215,765,746,99,0.071604532,0.200361307,0.17158371,0.298062953,0.261719457,0.321528578,0.433303167,0.3240014415372301,,94.68234404521469,-1.2349147549830377,-40.27862976547213,-5.07778387889266,16.441934545960052
2014,"SEA",162,2333,5977,136,634,600,96,0.066253973,0.206123473,0.131926606,0.289601554,0.243669724,0.3003367,0.37559633,0.2991464635089547,,93.83952370036943,3.226183896884322,-37.525482628502516,-0.7588448617607355,16.424973842729546
2015,"SDP",162,2396,6019,148,650,623,82,0.070775876,0.220468516,0.142202675,0.29224652,0.242624152,0.300083822,0.384826827,0.2980008227203744,,90.31680758178334,5.03297839872539,-63.22954680840917,31.49132646713406,16.366397628329697
2017,"BOS",162,2334,6338,168,785,735,106,0.090091511,0.193120858,0.148879873,0.299791328,0.25771741,0.329435929,0.406597283,0.3163640555863243,,91.27081238370329,7.1345877168059815,-61.716665333171036,16.8731197117595,16.355047358045944
1990,"CAL",162,1689,6267,147,690,646,69,0.090314344,0.15956598,0.131418312,0.291181736,0.259964093,0.328877435,0.391382405,0.3242286442743974,,103.51673169955852,-5.701873290119693,19.441250766879712,-63.1481464356184,16.31502212384015
2011,"TOR",162,2265,6210,186,743,704,131,0.084541062,0.190660225,0.163878395,0.282813975,0.248965641,0.316717915,0.412844036,0.31901405730827037,,96.7865709691718,12.08961857133545,-11.641581672112167,-38.41584376245737,16.310533605322185
2008,"LAD",162,2376,6194,137,700,659,126,0.087665482,0.166612851,0.134398838,0.301257142,0.264257173,0.332952691,0.398656011,0.3212407335845278,,92.81508545831993,5.11801223969087,-51.05849179057462,15.621006672736257,16.290459640123345
2004,"TBD",161,2182,6098,145,714,685,132,0.076910462,0.154804854,0.146817436,0.285617977,0.258252781,0.31997361,0.405070217,0.3146422866762772,,87.35859303472307,16.106579922605306,-82.57649273244535,41.57093944773078,16.272042260091627
2007,"TOR",162,2308,6197,165,753,719,57,0.086009359,0.168468613,0.160223989,0.290057142,0.259031791,0.326735885,0.41925578,0.3257204355636766,,95.39695693890698,-11.302018192363903,-47.18829261380333,-0.7771933353506029,16.24021760932569
2019,"SEA",162,2347,6199,239,758,730,115,0.094854008,0.255041135,0.186727273,0.286790422,0.237272727,0.315542616,0.424,0.3141097788713448,,98.86174415576525,5.203988860361278,-4.057252649022255,-53.25552154658362,16.218706711518887
2014,"MIN",162,2292,6233,128,715,675,99,0.087277394,0.213219958,0.135440992,0.309099662,0.253637506,0.32361469,0.389078498,0.3163950382013656,,100.46293566206138,20.93627397180535,23.817395275932437,-72.59160014428198,16.157713917560706
2024,"TBR",162,2392,6006,147,604,564,178,0.082084582,0.247252747,0.135832251,0.288730535,0.230283911,0.302403204,0.366116162,0.29430693139674097,,94.8333314628609,4.958157456247136,-30.547825144429808,-13.568108890205622,16.121367321124545
2016,"MIL",162,2342,6061,194,671,641,181,0.098828576,0.254578452,0.1630394,0.304240088,0.243714821,0.322231473,0.406754221,0.31520297538892766,,91.92451780651494,7.801824681577273,-52.61705779214312,17.425242142751813,16.11167650656228
1996,"CIN",162,2287,6213,191,778,733,171,0.097215515,0.182520521,0.165719523,0.288825077,0.256278643,0.331488114,0.421998166,0.3289761528996193,,96.82191183275715,4.3834296188433655,-21.68482366936221,1.9885698896832764,16.10719917827336
2006,"BOS",162,2346,6435,192,820,777,51,0.104428904,0.164102564,0.166399716,0.297718545,0.26873109,0.350537969,0.435130806,0.3399862891025882,,99.69466118927559,-10.291218888596632,-13.32299574139045,-43.490227065980434,16.069443097309787
2018,"NYM",162,2333,6177,170,676,649,71,0.091630241,0.227294803,0.154169715,0.282520325,0.23445501,0.312408521,0.388624725,0.30468034273314826,,93.99609225027963,-3.43232499161968,-49.10141576712445,16.03876397991553,16.066902918263406
2010,"FLA",162,2300,6194,152,719,686,92,0.082983532,0.221989021,0.148978485,0.309117865,0.253661182,0.32101579,0.402639667,0.31841048545044887,,92.15666900529433,22.49346543243155,-36.145708435369066,1.222801637952216,16.01995504448067
1998,"PHI",162,2166,6300,126,713,672,97,0.08063492,0.171428571,0.131030799,0.302949061,0.263841908,0.326383319,0.394872707,0.31688907886433343,,86.87124290907337,-0.2585070327913854,-105.25775450168989,69.65397451072931,16.007936247107246
2006,"MIL",162,2206,6130,180,730,695,71,0.081892332,0.201141924,0.162157188,0.299533513,0.25768452,0.326853377,0.419841708,0.3223296569673297,,89.3186182701247,-1.5112186184851453,-87.79702442927375,47.734601290896535,15.931052250967369
2012,"NYM",162,2420,6091,139,650,625,79,0.082580857,0.205220817,0.136697248,0.297726717,0.248990825,0.315684647,0.385688073,0.3062431475503195,,93.756404024935,-3.175136005040258,-48.79668942407582,15.45187711995095,15.916533468992622
2010,"WSN",162,2410,6100,149,655,634,110,0.082459016,0.2,0.140088594,0.294433593,0.250092284,0.318181818,0.390180878,0.3130003311764573,,90.05260327720438,-11.267244042828679,-84.37275552423414,51.20114175538765,15.9034942978373
2006,"TEX",162,2227,6273,183,835,799,53,0.080503746,0.169137573,0.168227602,0.310862262,0.277610885,0.33834346,0.445838487,0.3374280503256602,,97.10236251854737,-7.428479048190638,-31.475000260711482,-21.696705160662532,15.878240388643567
2023,"LAA",162,2314,6145,231,739,708,72,0.084296175,0.248006509,0.180907269,0.294973544,0.245217708,0.316862361,0.426124977,0.3199746922525004,,101.06572151421712,-11.492723736679181,-3.6961539081065595,-48.247995886486024,15.869318613359429
2007,"SDP",163,2334,6326,171,741,704,55,0.08804932,0.194277584,0.159836066,0.290648496,0.250890947,0.321622484,0.410727013,0.3195816790710524,,95.95235632388524,3.344813337782398,-30.202594077312924,-16.601575660519302,15.81272269073901
2022,"SFG",162,2552,6117,183,716,683,64,0.093346411,0.239006048,0.15578635,0.28368421,0.233864985,0.315333006,0.389651335,0.31051788218435505,,101.58012462290385,-5.674835449986858,5.442347511579092,-66.32020252000075,15.702769275240351
2000,"CHC",162,2269,6397,183,764,722,93,0.09879631,0.175082069,0.155459925,0.287798101,0.255693024,0.334812935,0.411152949,0.32670353020140447,,88.88929583846974,2.359626140445471,-94.9534681283583,47.81520910654217,15.702029318687911
